wkt_geom	localityId	localityName	dataId	x	y	latitude	longitude	zone	altitude	horiz_precision	vert_precision	planeType	dip	dipAzimuth	strike	declination	unitId	timedate	notes
Point (739502.08065555000212044 4488381.40034462977200747)	d6343a5fc622097849fe563840529b32	15L	581f851a4f8e7678ae61afaca056aca4	739502.08065555	4488381.40034463	40.51159453	-6.17317274	29T	5.72259426	3.74778376	-1	Bedding	43.19325256	51.78312302	321.78311157	-0.25527954	Qtz	Fri Aug 30 14:52:47 2024	
Point (739511.63022526004351676 4488381.27851749956607819)	d6343a5fc622097849fe563840529b32	15L	0f7ca68b9729dce8ad468b2e534bb13d	739511.63022526	4488381.2785175	40.51159068	-6.1730602	29T	15.60786915	14.25064972	-1	Bedding	37.65330124	50.00168228	320.00167847	-0.25527954	Qtz	Fri Aug 30 14:52:04 2024	
Point (739506.2233561200555414 4488386.57439843006432056)	d6343a5fc622097849fe563840529b32	15L	2939238324e569fadc5227d6ba3ce6cc	739506.22335612	4488386.57439843	40.51163989	-6.17312195	29T	3	4.74865152	-1	Bedding	38.87693405	45.66880035	315.66879272	-0.25527954	Qtz	Fri Aug 30 14:50:30 2024	
Point (739498.21004507003817707 4488392.69940308015793562)	d6343a5fc622097849fe563840529b32	15L	110173b6409ff92451960042e18be259	739498.21004507	4488392.69940308	40.51169732	-6.1732141	29T	3.4061163	4.74865153	-1	Bedding	32.89096832	40.7921257	310.79211426	-0.25527954	Qtz	Fri Aug 30 14:49:56 2024	
Point (739493.47369203995913267 4488395.86550571024417877)	d6343a5fc622097849fe563840529b32	15L	3a0bda8e81492bb356bcd259537fe05a	739493.47369204	4488395.86550571	40.51172717	-6.17326874	29T	6.9855982	4.74865153	-1	Bedding	37.87223816	40.82283783	310.82284546	-0.25527954	Qtz	Fri Aug 30 14:49:39 2024	
Point (739489.73061298998072743 4488394.98576734028756618)	d6343a5fc622097849fe563840529b32	15L	d118091bec25539dc3c9f7509c2cf80b	739489.73061299	4488394.98576734	40.51172034	-6.1733132	29T	6.21278206	4.74075014	-1	Bedding	37.38246155	48.06806564	318.0680542	-0.25527954	Qtz	Fri Aug 30 14:49:33 2024	
Point (739498.27056949003599584 4488414.18118445016443729)	d6343a5fc622097849fe563840529b32	15L	ac1c35e21a268f885f30e4ccade73932	739498.27056949	4488414.18118445	40.51189059	-6.17320526	29T	4.75780753	4.74865153	-1	Bedding	33.12380981	33.93616104	303.93615723	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 14:45:06 2024	
Point (739510.88890450994949788 4488408.43104609008878469)	d6343a5fc622097849fe563840529b32	15L	40d86658c5adc2c5b3059a2454162e76	739510.88890451	4488408.43104609	40.51183521	-6.17305868	29T	4.23329081	4.74865153	-1	Bedding	40.08093262	31.07204247	301.072052	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 14:44:45 2024	
Point (739520.00008808996062726 4488402.68389128986746073)	d6343a5fc622097849fe563840529b32	15L	37e6141601745dc0df28d8302708ebee	739520.00008809	4488402.68389129	40.51178087	-6.17295344	29T	4.11159199	4.74865154	-1	Bedding	39.56480026	47.09782028	317.09780884	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 14:44:20 2024	
Point (739518.55898444005288184 4488396.44690047018229961)	d6343a5fc622097849fe563840529b32	15L	16fa7c65cf44b5da3d056c8ea048f798	739518.55898444	4488396.44690047	40.51172516	-6.17297278	29T	4.33285719	4.74865153	-1	Bedding	35.58893204	44.56547165	314.56546021	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 14:43:56 2024	
